layer,rel_path,family,module,role,has_desc,has_state,has_algo,has_ctx,is_hot_path,is_bridge,has_legacy_hot_path,tested,note
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Aco_Absorb.f90,Acoustic,MD_Aco_Absorb,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Aco_Linear.f90,Acoustic,MD_Aco_Linear,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acous_Brg.f90,Acoustic,MD_Mat_Acous_Brg,Def,True,False,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acous_Core.f90,Acoustic,MD_Mat_Acous_Core,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Acous_Def.f90,Acoustic,MD_Mat_Acous_Def,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_AcousticProps.f90,Acoustic,MD_Mat_AcousticProps,Def,True,True,True,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Acoustic/MD_Mat_Creep_Acoustic.f90,Acoustic,MD_Mat_Creep_Acoustic,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Base/MD_Mat_BaseDef.f90,Base,MD_Mat_BaseDef,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Base/MD_Mat_Core.f90,Base,MD_Mat_Core,Def,True,True,False,False,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Base/MD_Mat_Reg.f90,Base,MD_Mat_Reg,Def,True,True,False,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Bridge/MD_Mat_Brg.f90,Bridge,MD_Mat_Brg,Def,True,True,True,True,False,True,False,False,
L3_MD,ufc_core/L3_MD/Material/Bridge/MD_MatRT_Brg.f90,Bridge,MD_MatRT_Brg,Domain,False,False,True,True,True,True,True,False,L3 hot-path marker: freeze or migrate; legacy material route dependency
